"STATION","DATE","MLY-PRCP-NORMAL","MLY-SNOW-NORMAL","MLY-TAVG-NORMAL","MLY-TMAX-NORMAL","MLY-TMIN-NORMAL"
"USC00519603","01","    4.57",,"    70.6","    78.6","    62.7"
"USC00519603","02","    4.28",,"    70.5","    78.7","    62.4"
"USC00519603","03","    6.65",,"    71.5","    79.2","    63.8"
"USC00519603","04","    5.21",,"    73.2","    81.1","    65.4"
"USC00519603","05","    3.63",,"    74.7","    83.1","    66.4"
"USC00519603","06","    3.44",,"    76.6","    84.7","    68.6"
"USC00519603","07","    4.12",,"    77.5","    85.2","    69.7"
"USC00519603","08","    3.82",,"    78.2","    86.3","    70.0"
"USC00519603","09","    3.77",,"    77.8","    86.2","    69.4"
"USC00519603","10","    4.66",,"    76.6","    84.6","    68.5"
"USC00519603","11","    6.84",,"    74.3","    81.6","    67.0"
"USC00519603","12","    6.93",,"    72.1","    79.2","    65.0"
